0.15	0.7	38100	25500	12600	30000
0.15	0.75	39000	25500	13500	30000
0.15	0.8	39900	25500	14400	30000
0.15	0.85	40800	25500	15300	30000
0.15	0.9	41700	25500	16200	30000
0.15	0.95	42600	25500	17100	30000
0.15	1	43500	25500	18000	30000
0.2	0	24000	24000	0	30000
0.2	0.05	25200	24000	1200	30000
0.2	0.1	26400	24000	2400	30000
0.2	0.15	27600	24000	3600	30000
0.2	0.2	28800	24000	4800	30000
0.2	0.25	30000	24000	6000	30000
0.2	0.3	31200	24000	7200	30000
0.2	0.35	32400	24000	8400	30000
0.2	0.4	33600	24000	9600	30000
0.2	0.45	34800	24000	10800	30000
0.2	0.5	36000	24000	12000	30000
0.2	0.55	37200	24000	13200	30000
0.2	0.6	38400	24000	14400	30000
0.2	0.65	39600	24000	15600	30000
0.2	0.7	40800	24000	16800	30000
0.2	0.75	42000	24000	18000	30000
0.2	0.8	43200	24000	19200	30000
0.2	0.85	44400	24000	20400	30000
0.2	0.9	45600	24000	21600	30000
0.2	0.95	46800	24000	22800	30000
0.2	1	48000	24000	24000	30000
0.25	0	22500	22500	0	30000
0.25	0.05	24000	22500	1500	30000
0.25	0.1	25500	22500	3000	30000
0.25	0.15	27000	22500	4500	30000
0.25	0.2	28500	22500	6000	30000
0.25	0.25	30000	22500	7500	30000
0.25	0.3	31500	22500	9000	30000
0.25	0.35	33000	22500	10500	30000
0.25	0.4	34500	22500	12000	30000
0.25	0.45	36000	22500	13500	30000
0.25	0.5	37500	22500	15000	30000
0.25	0.55	39000	22500	16500	30000
0.25	0.6	40500	22500	18000	30000
0.25	0.65	42000	22500	19500	30000
0.25	0.7	43500	22500	21000	30000
0.25	0.75	45000	22500	22500	30000
0.25	0.8	46500	22500	24000	30000
0.25	0.85	48000	22500	25500	30000
0.25	0.9	49500	22500	27000	30000
0.25	0.95	51000	22500	28500	30000
0.25	1	52500	22500	30000	30000
0.3	0	21000	21000	0	30000
0.3	0.05	22800	21000	1800	30000
0.3	0.1	24600	21000	3600	30000
0.3	0.15	26400	21000	5400	30000
0.3	0.2	28200	21000	7200	30000
0.3	0.25	30000	21000	9000	30000
0.3	0.3	31800	21000	10800	30000
0.3	0.35	33600	21000	12600	30000
0.3	0.4	35400	21000	14400	30000
0.3	0.45	37200	21000	16200	30000
0.3	0.5	39000	21000	18000	30000
0.3	0.55	40800	21000	19800	30000
0.3	0.6	42600	21000	21600	30000
0.3	0.65	44400	21000	23400	30000
0.3	0.7	46200	21000	25200	30000
0.3	0.75	48000	21000	27000	30000
0.3	0.8	49800	21000	28800	30000
0.3	0.85	51600	21000	30600	30000
0.3	0.9	53400	21000	32400	30000
